Status Union Concern,System,Scientific name,Species,Synonyms,Kingdom,Phylum,Organism_Type,Common_Name, N (Total),"N [1971,2010]","N [2010, 2015]",Modelling,LivingLab,LL_Country
Included,Water,"Faxonius limosus (Rafinesque, 1817)",Faxonius limosus,,Animalia,Arthropoda,Crustacean,Spinycheek crayfish,55394,26749,29907,No,No,N/A
Included,Water,"Faxonius rusticus (Girard, 1852)",Faxonius rusticus,,Animalia,Arthropoda,Crustacean,Rusty crayfish,6454,2614,3402,No,No,N/A
Included,Water,"Faxonius virilis (Hagen, 1870)",Faxonius virilis,,Animalia,Arthropoda,Crustacean,Virile crayfish,12234,3834,7617,No,No,N/A
Included,Water,"Fundulus heteroclitus (Linnaeus, 1766)",Fundulus heteroclitus,,Animalia,Chordata,Fish,Mummichog,5786,1692,2950,No,No,N/A
Included,Water,"Gambusia affinis (Baird & Girard, 1853)",Gambusia affinis,,Animalia,Chordata,Fish,Western mosquitofish,73741,44581,24401,No,No,N/A
Included,Water,"Gambusia holbrooki Girard, 1859",Gambusia holbrooki,,Animalia,Chordata,Fish,Eastern mosquitofish,43245,17673,24204,No,No,N/A
Included,Water,Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,Gymnocoronis spilanthoides,,Plantae,Tracheophyta,Aquatic Plant,Senegal tea plant,1560,601,1045,No,No,N/A
Included,Water,Hydrocotyle ranunculoides L. f.,Hydrocotyle ranunculoides,,Plantae,Tracheophyta,Aquatic Plant,Floating pennywort,26542,4437,22674,No,No,N/A
Included,Water,Lagarosiphon major (Ridley) Moss,Lagarosiphon major,,Plantae,Tracheophyta,Aquatic Plant,African elodea,6186,3295,2797,No,No,N/A
Included,Water,"Lepomis gibbosus Linnaeus, 1758",Lepomis gibbosus,,Animalia,Chordata,Fish,Pumpkinseed,194003,109796,80860,No,No,N/A
Included,Water,"Limnoperna fortunei (Dunker, 1857)",Limnoperna fortunei,,Animalia,Mollusca,Mussel,Golden mussel,641,403,334,No,No,N/A
Included,Water,"Lithobates (Rana) catesbeianus Shaw, 1802",Lithobates catesbeianus,Aquarana catesbeianus,Animalia,Chordata,Amphibian,American bullfrog,121518,23949,95081,No,No,N/A
Included,Water,Ludwigia grandiflora (Michx.) Greuter & Burdet,Ludwigia grandiflora,,Plantae,Tracheophyta,Aquatic Plant,Water primrose,22706,6087,17383,No,No,N/A
Included,Water,Ludwigia peploides (Kunth) P.H. Raven,Ludwigia peploides,,Plantae,Tracheophyta,Aquatic Plant,Floating primrose-willow,25584,9143,16745,No,No,N/A
Candidate,Water,Marisa cornuarietis (Linnaeus 1758),Marisa cornuarietis,,Animalia,Mollusca,Snail,Giant ramshorn snail,574,129,354,No,No,N/A
Candidate,Water,"Misgurnus anguillicaudatus (Cantor, 1842)",Misgurnus anguillicaudatus,,Animalia,Chordata,Fish,Dojo loach,18126,23383,8440,No,No,N/A
Candidate,Water,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Misgurnus bipartitus,,Animalia,Chordata,Fish,Topmouth gudgeon,92,38,200,No,No,N/A
Included,Water,"Morone americana (Gmelin, 1789)",Morone americana,,Animalia,Chordata,Fish,White perch,12899,8961,3387,No,No,N/A
Candidate,Water,"Mulinia lateralis (Say, 1822)",Mulinia lateralis,,Animalia,Mollusca,Mussel,Coquina clam,3446,1104,1396,No,No,N/A
Included,Water,Myriophyllum aquaticum (Vell.) Verdc.,Myriophyllum aquaticum,,Plantae,Tracheophyta,Aquatic Plant,Parrot's feather,19841,7742,12877,No,No,N/A
Included,Water,Myriophyllum heterophyllum Michaux,Myriophyllum heterophyllum,,Plantae,Tracheophyta,Aquatic Plant,Variable-leaf milfoil,4132,2026,2386,No,No,N/A
Candidate,Water,"Nanozostera japonica (Ascherson & Graebner) Tomlinson & Posluszny, 2001",Nanozostera japonica,,Plantae,Tracheophyta,Seagrass,Dwarf eelgrass,50,3,47,No,No,N/A
Included,Water,"Pacifastacus leniusculus Dana, 1852",Pacifastacus leniusculus,,Animalia,Arthropoda,Crayfish,Signal crayfish,105795,41790,69322,No,No,N/A
Included,Water,"Perccottus glenii Dybowski, 1877",Perccottus glenii,,Animalia,Chordata,Fish,Amur sleeper,1627,166,1250,No,No,N/A
Included,Water,Pistia stratiotes L.,Pistia stratiotes,,Plantae,Tracheophyta,Aquatic Plant,Water lettuce,19893,10024,10499,No,No,N/A
Included,Water,"Plotosus lineatus (Thunberg, 1787)",Plotosus lineatus,,Animalia,Chordata,Fish,Striped eel catfish,3739,1458,2312,No,No,N/A
Included,Water,Pontederia crassipes Martius,Pontederia crassipes,,Plantae,Tracheophyta,Aquatic Plant,Water hyacinth,37145,18472,19358,No,No,N/A
Included,Water,"Procambarus clarkii Girard, 1852",Procambarus clarkii,,Animalia,Arthropoda,Crayfish,Red swamp crayfish,70883,16426,56433,No,No,N/A
Included,Water,"Procambarus virginalis Lyko, 2017",Procambarus virginalis,,Animalia,Arthropoda,Crayfish,Marbled crayfish,371,2,371,No,No,N/A
Included,Water,"Pseudorasbora parva Temminck & Schlegel, 1846",Pseudorasbora parva,,Animalia,Chordata,Fish,Stone moroko,94701,50223,67605,No,No,N/A
Included,Water,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",Rugulopteryx okamurae,,Plantae,Ochrophyta,Algae,Brown seaweed,1090,214,1088,No,No,N/A
Included,Water,Salvinia molesta D.S. Mitch.,Salvinia ×molesta,,Plantae,Tracheophyta,Aquatic Fern,Giant salvinia,6622,3022,3791,No,No,N/A
Included,Water,"Xenopus laevis (Daudin, 1802)",Xenopus laevis,,Animalia,Chordata,Amphibian,African clawed frog,5524,3102,2735,No,No,N/A
Not included,Terrestrial,Alnus cordata (Loisel.) Duby,Alnus cordata,,Plantae,Tracheophyta,Tree,Italian alder,,,,Yes,Yes,Belgium
Not included,Terrestrial,"Apis florea Fabricius, 1787",Apis florea,,Animalia,Arthropoda,Insect (bee),Red dwarf honey bee,,,,Yes,Yes,Belgium
Not included,Terrestrial,Fagus orientalis Lipsky,Fagus orientalis,,Plantae,Tracheophyta,Tree,Oriental beech,,,,Yes,Yes,Belgium
Not included,Terrestrial,Impatiens capensis Meerb.,Impatiens capensis,,Plantae,Tracheophyta,Herbaceous plant,Orange jewelweed,,,,Yes,Yes,Belgium
Not included,Terrestrial,"Isodontia mexicana (de Saussure, 1867)",Isodontia mexicana,,Animalia,Arthropoda,Insect (wasp),Mexican grass-carrying wasp,,,,Yes,Yes,Belgium
Not included,Terrestrial,Lindernia dubia (L.) Pennell,Lindernia dubia,,Plantae,Tracheophyta,Herbaceous plant,Yellowseed false pimpernel,,,,Yes,Yes,Belgium
Not included,Terrestrial,"Elaphe taeniura (Cope, 1861)",Elaphe taeniura,"Orthriophis taeniurus (Cope, 1861)",Animalia,Chordata,Reptile (snake),Beauty ratsnake,,,,Yes,Yes,Belgium
